org1_gi	org2_gi	org1_locus_tag	org2_locus_tag	org1_annotation	org2_annotation
16128167	16272857	b0174	HI0920	undecaprenyl pyrophosphate synthase	hypothetical protein
16128166	16272748	b0173	HI0807	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1-deoxy-D-xylulose 5-phosphate reductoisomerase
16128165	16272749	b0172	HI0808	ribosome recycling factor	ribosome recycling factor
16128164	16272996	b0171	HI1065	uridylate kinase	uridylate kinase
16128163	16272851	b0170	HI0914	translation elongation factor EF-Ts	elongation factor Ts
16128162	161350022	b0169	HI0913	30S ribosomal subunit protein S2	30S ribosomal protein S2
16128161	16273608	b0168	HI1722	methionine aminopeptidase	methionine aminopeptidase
16130518	16272215	b2597	HI0257	cold shock protein associated with 30S ribosomal subunit	hypothetical protein
16130516	16272142	b2595	HI0177	BamABCDE complex OM biogenesis lipoprotein	hypothetical protein
16130515	16272141	b2594	HI0176	23S rRNA pseudouridine(1911,1915,1917) synthase	23S rRNA pseudouridine synthase D
16130514	16272140	b2593	HI0175	UPF0124 family protein	hypothetical protein
16130513	16272799	b2592	HI0859	protein disaggregation chaperone	ATP-dependent Clp protease ATPase subunit
49176442	16273016	b3908	HI1088	superoxide dismutase, Mn	superoxide dismutase
16128019	16272900	b0025	HI0963	bifunctional riboflavin kinase/FAD synthetase	bifunctional riboflavin kinase/FMN adenylyltransferase
16128013	16272188	b0019	HI0225	sodium-proton antiporter	pH-dependent sodium/proton antiporter
